tanggal,bulan,bulan_no,lokasi,kelompok,jenis_pemeliharaan,kategori_sparepart,nama_unit,kode_barang,part_number,nama_barang,qty,satuan,biaya,group_desc,class_desc,subclass_desc
2026-04-08,Apr,4,KUMAI,PLANTATION,RUTIN,FINAL DRIVE SYSTEM,EXCAVATOR HITACHI ZX210LC-5G LONGARM 332-030,330308-060308-0002,796001,BEARING,1.0,PCS,950000.0,Excavator,Excavator,Hitachi
2026-04-08,Apr,4,KUMAI,PLANTATION,RUTIN,SUSPENSION SYSTEM,EXCAVATOR HITACHI ZX130-5G 332-031,330308-010313-0003,4430468,SEAL DUST,3.0,Pcs,2340000.0,Excavator,Excavator,Hitachi
2026-04-08,Apr,4,KUMAI,PLANTATION,RUTIN,ENGINE SYSTEM,EXCAVATOR HITACHI ZX138 M-F 332-043,330308-010307-0091,4326742,"PIPE, FUEL",1.0,Pcs,102000.0,Excavator,Excavator,Hitachi
2026-04-08,Apr,4,KUMAI,PLANTATION,RUTIN,ENGINE SYSTEM,EXCAVATOR HITACHI ZX138 M-F 332-043,330308-010307-0121,8981529060,VEE BELT SET,1.0,PCS,646428.57,Excavator,Excavator,Hitachi
2026-04-08,Apr,4,KUMAI,PLANTATION,RUTIN,FINAL DRIVE SYSTEM,EXCAVATOR HITACHI ZX138 M-F 332-043,330308-010308-0017,4401293,SPACER,4.0,PCS,920000.0,Excavator,Excavator,Hitachi
2026-04-08,Apr,4,KUMAI,PLANTATION,RUTIN,HYDRAULIC SYSTEM,EXCAVATOR HITACHI ZX 210 LC 332-054,370502-000300-0321,,"HOSE HYDROLIC 3/8""",2.0,CM,600000.0,Barang & Alat Bengkel,Barang & Alat Bengkel,Work Shop
2026-04-08,Apr,4,KUMAI,PLANTATION,RUTIN,UNDERCARRIAGE SYSTEM,BULLDOZER WEA B 165 YS 342-015,330740-010215-0001,D8555-2,BOLT SEGMENT,12.0,PCS,444000.0,Bulldozer,Bulldozer,WEA World Equipment
2026-04-08,Apr,4,KUMAI,PLANTATION,RUTIN,UNDERCARRIAGE SYSTEM,BULLDOZER WEA B 165 YS 342-015,370502-000300-0722,,BOLT M18X65,56.0,PCS,896000.0,Barang & Alat Bengkel,Barang & Alat Bengkel,Work Shop
2026-04-08,Apr,4,KUMAI,PLANTATION,RUTIN,UNDERCARRIAGE SYSTEM,GRADER XCMG GR-100 351-012,330439-030315-0006,800555427,ROLLER BEARING,4.0,PCS,1600000.0,Motor Grader,Motor Grader,XCMG
2026-04-08,Apr,4,KUMAI,PLANTATION,RUTIN,UNDERCARRIAGE SYSTEM,GRADER XCMG GR-100 351-012,330439-030315-0009,800307663,MAIN DRIVE SHAFT,1.0,PCS,3487600.0,Motor Grader,Motor Grader,XCMG
