lokasi,bulan,tanggal,account,kode_unit,id_unit,nama_unit,jenis_unit,kategori,kegiatan,remark,jumlah_jam
BUHUT,Aug,2026-08-13,641106237101431 075,371-014,371014,COMPACTOR SAKAI SV 526-D 371-014,Compactor,AB,WS-PERBAIKAN DAN MAINTENANCE UNIT,371-014   TAMBAH OLI 40,1.0
BUHUT,Aug,2026-08-13,641106233204532 035,332-045,332045,EXCAVATOR HITACHI ZX 210 F-5G 332-045,Excavator Breaker 20 Ton,AB,WS-PERBAIKAN UNIT,"332-045   CEK VALVE BREAKER,TAMBAH NITRO",1.0
BUHUT,Aug,2026-08-13,641106233205231 035,332-052,332052,EXCAVATOR HITACHI ZX 210G-5G 332-052,Excavator Breaker 20 Ton,AB,WS-PERBAIKAN UNIT,"332-052   CEK & TAMBAH NITRO,GREASING",1.0
BUHUT,Aug,2026-08-13,641106233205531 035,332-055,332055,EXCAVATOR HITACHI ZX350H-5G 332-055,Excavator Breaker 30 Ton,AB,WS-PERBAIKAN DAN MAINTENANCE UNIT,"332-055   TAMBAH NITRO,GREASING",1.0
BUHUT,Aug,2026-08-13,641106231203632 165,312-036,312036,DUMP TRUCK HINO FM 280 JD 312-036,DT FM 260 JD,AB,WS-PERBAIKAN UNIT,312-036   GANTI TYRE NO 8,4.0
BUHUT,Aug,2026-08-13,641106233203832 035,332-038,332038,EXCAVATOR HITACHI ZX 210 F-5G 332-038,Excavator Breaker 20 Ton,AB,WS-PERBAIKAN UNIT,"332-038   GANTI SEAL DIAFRAGMA,TAMBAH OL",8.0
BUHUT,Aug,2026-08-13,641106233204532 035,332-045,332045,EXCAVATOR HITACHI ZX 210 F-5G 332-045,Excavator Breaker 20 Ton,AB,WS-PERBAIKAN UNIT,332-045   LAS KRAN PIPA,1.0
BUHUT,Aug,2026-08-14,641106233204531 115,332-045,332045,EXCAVATOR HITACHI ZX 210 F-5G 332-045,Excavator Breaker 20 Ton,AB,WS-PERBAIKAN DAN MAINTENANCE UNIT,332-045   TAMBAH OLI 10,1.0
BUHUT,Aug,2026-08-14,641106237101431 075,371-014,371014,COMPACTOR SAKAI SV 526-D 371-014,Compactor,AB,WS-PERBAIKAN DAN MAINTENANCE UNIT,371-014   TAMBAH OLI 40,1.0
BUHUT,Aug,2026-08-14,641106233205531 035,332-055,332055,EXCAVATOR HITACHI ZX350H-5G 332-055,Excavator Breaker 30 Ton,AB,WS-PERBAIKAN DAN MAINTENANCE UNIT,332-055   GREASING,1.0
