tanggal,bulan,bulan_no,lokasi,kelompok,jenis_pemeliharaan,kategori_sparepart,tipe_biaya,nama_unit,biaya,keterangan
2026-01-08,Jan,1,TANJUNG,MINING,RUTIN,HYDRAULIC SYSTEM,SERVICE LUAR,GRADER CATERPILLAR 120 NG 351-011,945000.0,"By. Pembuatan hose hydroulic untuk unit 351-011, tgl 08 Jan 2026"
2026-01-31,Jan,1,SUNGAI DANAU,PLANTATION,NON RUTIN,ENGINE SYSTEM,SERVICE LUAR,COMPACTOR SAKAI SV512D371-005,7000000.0,"BUDI LUHUR SENTOSA, CV."
2026-01-10,Jan,1,TANJUNG,MINING,NON RUTIN,ATTACHMENT SYSTEM,SERVICE LUAR,EXCAVATOR SHANTUI SE 215 W 332-049,1100000.0,"By. Repair pin dump untuk unit 332-049, tgl 10 Jan 2026"
2026-01-12,Jan,1,AMPAH,MINING,NON RUTIN,AIR SYSTEM,SPAREPART,DUMP TRUCK HINO FM 260 JD 312-020,30000.0,Via Sdr Doni Saputra
2026-01-12,Jan,1,AMPAH,MINING,RUTIN,ENGINE SYSTEM,SERVICE LUAR,DUMP TRUCK HINO FM 260 JD 312-011,7500000.0,"By. Repair engine blok untuk unit 312-011, tgl 12 Jan 2026"
2026-01-13,Jan,1,AMPAH,MINING,NON RUTIN,ENGINE SYSTEM,SPAREPART,DUMP TRUCK HINO FM 260 JD 312-011,35000.0,Via Sdr Rizky
2026-01-13,Jan,1,TANJUNG,MINING,NON RUTIN,AIR CONDITIONING SYSTEM,SPAREPART,EXCAVATOR HITACHI ZX210F-5G 332-026,88800.0,Via Sdr Rizky
2026-01-31,Jan,1,SUNGAI DANAU,PLANTATION,RUTIN,WHEEL & TYRE SYSTEM,SERVICE LUAR,TRUCK HINO 130 HD DA 8587 CQ 241-008,600000.0,SURGA MOTOR
2026-01-31,Jan,1,SUNGAI DANAU,PLANTATION,RUTIN,WHEEL & TYRE SYSTEM,SPAREPART,TRUCK HINO 130 HD DA 8587 CQ 241-008,1318000.0,SURGA MOTOR
2026-01-13,Jan,1,KUMAI,PLANTATION,RUTIN,ENGINE SYSTEM,SPAREPART,CRAWLER CROWN KD 3000 HZL 322-004,80000.0,Via Imam Safi'i
2026-01-14,Jan,1,BUHUT,MINING,NON RUTIN,ELECTRICAL SYSTEM,SPAREPART,EXCAVATOR HITACHI ZX350H-5G 332-055,130000.0,Via Sdr Rizky
2026-01-14,Jan,1,BUHUT,MINING,NON RUTIN,ELECTRICAL SYSTEM,SPAREPART,EXCAVATOR HITACHI ZX 210G-5G 332-052,130000.0,Via Sdr Rizky
2026-01-14,Jan,1,TANJUNG,MINING,RUTIN,AIR CONDITIONING SYSTEM,SPAREPART,DUMP TRUCK HINO FM 260 JD 312-021,344700.0,"By. Pembuatan hose ac untuk unit 312-021, tgl 14 Jan 2026"
2026-01-15,Jan,1,SUNGAI DANAU,PLANTATION,NON RUTIN,ELECTRICAL SYSTEM,SERVICE LUAR,BULLDOZER CAT D6G DC-11 342-004,900000.0,Via Sdr. Rahmad Nua.
2026-01-15,Jan,1,SUNGAI DANAU,PLANTATION,NON RUTIN,ELECTRICAL SYSTEM,SPAREPART,BULLDOZER CAT D6G DC-11 342-004,1500000.0,Via Sdr. Rahmad Nua.
2026-01-15,Jan,1,SUNGAI DANAU,PLANTATION,NON RUTIN,ELECTRICAL SYSTEM,SPAREPART,TRUCK TANGKI HINO FG 235 DA 8343 JD 262-008,50000.0,By pembelian spare part unit BKMS dan pembelian keperluan workshop
